View_Detail,Federal_Fiscal_Year,Region,State_Code,NEP_Name,Project_Name,Project_Description,Habitat_Description,Habitat_Type,Restoration_Technique,Donated_Land,Data_Unavailable,EPA_Section_320,Total_Project_Cost,Project_Benefits,Activity_Name,Lead_Implementer,Partners,Main_Funding_Source,Site_Owner,Last_Updated_Date,NEP_Comments,HQ_Comments,HQ_Status,Region_Status,Total_Cost,Author,Submitter_Email,PrimaryHabitat,SecondaryHabitat,Acres,Miles,Latitude,Longitude,Feet,ID_Number,GeneralHabitat,GeneralActivity,BeforePhotoCredit,BeforePhotoCaption,DuringPhotoCredit,DuringPhotoCaption,AfterPhotoCredit,AfterPhotoCaption,TBEP_Notes
21124,2021,Region 4,FL,Tampa Bay Estuary Program,Lake Francis Nature Preserve,Improve pine flatwoods habitat and reduce fuels to facilitate prescribed burning in urbanized area ,"Forest/Woodland: An area of land covered by trees and understory vegetation, sometimes mixed with pasture; forests are described in terms of crown cover, such as closed forest, open forest, woodland and open woodland, and in terms of height of the tallest",Forest/Woodland,Other,No,,0,4825,Protect/improve/provide habitat for other wildlife,Enhancement,Hillsborough County,,BOCC,Hillsborough County,28-SEP-21 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,1,,28.15265,-82.60406,,E-399,Uplands,Enhancement,,,,,,,
21109,2021,Region 4,FL,Tampa Bay Estuary Program,Lake Manatee SP Longleaf Ecosystem Reclamation,"Prep for longleaf ecosystem reclamation: hardwoods and midcanopy species removal, invasive plants management, controlled burns, 13000 longleaf seedlings planted on 38 ac of prepped area.",Sandhill at edge of Lake Manatee succeeding into hardwood forest,Forest/Woodland,Planting,,,0,62885,Restore natural hydrology,Reestablish,FL Park Service w Longleaf Alliance funds through National Fish & Wildlife Foundation,,Longleaf Alliance/Nat'l Fish & Wildlife Foundation,FL Trustees/DEP,27-SEP-21 02.40.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,16,,27.47759,-82.331,,R-159,Uplands,Restoration,,,,,,,
21099,2021,Region 4,FL,Tampa Bay Estuary Program,Lake Seminole Park Exotic Vegetation Maintenance,"Herbicide treatment (glyphosate and triclopyr), re-treating areas currently in maintenance, rosary pea, air potato, Brazilian pepper, Australian almund tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, scaevola+ - all hardwoods basil treated or near water cut and stump treated with triclopyr, all others were foliar treated with glyphosate","Mesic flatwoods, scrubby flatwoods, freshwater lake, Public recreation",Other,Invasives Control/Removal - Vegetation,No,Y,0,,Protect/improve/provide habitat for other wildlife,Maintenance,Pinellas County Parks and Conservation Resources,None,Pinellas County Operating,Pinellas County,28-SEP-21 11.44.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,100,,27.841,-82.774,,E-400,Other,Enhancement,,,,,,,
21121,2021,Region 4,FL,Tampa Bay Estuary Program,Little Manatee River Nature Preserve,Herbicide application for exotic/invasive plant species removal and control.,"Riverine Ecosystem along with pine flatwoods, forested wetlands and former agricultural and cattle fields",Forest/Woodland,Invasives Control/Removal - Vegetation,No,,0,67768,Protect/improve/provide habitat for other wildlife,Enhancement,Hillsborough County,,BOCC,SWFWMD / Hillsborough County,27-SEP-21 02.45.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,197,,27.69259,-82.27957,,E-401,Mix (freshwater and upland),Enhancement,,,,,,,
21110,2021,Region 4,FL,Tampa Bay Estuary Program,Little Manatee River SP Longleaf Ecosystem Enhancement,"Minimal effort, trees purchased & planted.","Enhance mesic & scrubby flatwoods ecosystems; 60,000 longleaf seedlings planted on 198 acres",Forest/Woodland,Planting,,,0,62144,Protect/improve/provide habitat for other wildlife,Enhancement,FL Park Service w Longleaf Alliance funds through National Fish & Wildlife Foundation,,Longleaf Alliance/Nat'l Fish & Wildlife Foundation,FL Trustees/DEP,28-SEP-21 11.31.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,198,,27.676,-82.3692,,E-402,Uplands,Enhancement,,,,,,,
21343,2021,Region 4,FL,Tampa Bay Estuary Program,Lower Green Swamp Preserve Hydrologic Restoration,"Implement BMPs, including ditch blocks, wet crossings, and overflow sill(s) to restore hydrology.",Forested (cypress) and non-forested (bottom lands; wet prairie; freshwater marsh) wetlands in the Hillsborough River basin.,Forested Wetland,"Ditch Removal, Filling, or Plugging",No,,72140,749441,Enhance wetlands/restore hydroperiod/improve habitat for wildlife,Reestablish,Hillsborough County,Tampa Bay Estuary Program,Tampa Bay Environmental Restoration Fund,Hillsborough County,27-SEP-21 03.12.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Forested Freshwater Wetlands,,143.54,,28.08084,-82.08054,,R-160,Freshwater,Restoration,,,,,,,
21093,2021,Region 4,FL,Tampa Bay Estuary Program,Lower Hillsborough FY21 Habitat Maintenance,"Control of invasive plants including Cogon Grass and Old World climbing fern, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone)",Property encompasses 13 miles of the Hillsborough River. Land cover consists of riverine forest and pine flatwoods.,Forest/Woodland,Invasives Control/Removal - Vegetation,No,,0,94925,Protect or preserve open space,Rehabilitat,Southwest Florida Water Management District,,Internal,Southwest Florida Water Management District,27-SEP-21 03.45.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,2661,,28.114,-82.301,,E-403,Uplands,Enhancement,,,,,,,
21322,2021,Region 4,FL,Tampa Bay Estuary Program,MacDill AFB Aquatic Invasive Species Treatment,"Chemical treatment, including Garlon 3a and Garlon 4 (triclopyr), Rodeo (glyphosate), and Polaris (Imazapyr) as appropriate for aquatic invasive plant species to allow proper hydrologic flow throughout a Surface Water Improvement and Management area.","Human altered Surface Water Improvement and Management lake, ponds, and canals.",Lake/Pond,Invasives Control/Removal - Vegetation,No,,0,39000,Improve or protect water quality,Maintenance,United States Air Force,United State Fish & Wildlife Service,United States Air Force,United States Air Force,27-SEP-21 03.32.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Non-forested Freshwater Wetlands,,20,,27.83182,-82.48384,,E-404,Freshwater,Enhancement,,,,,,,
21321,2021,Region 4,FL,Tampa Bay Estuary Program,MacDill AFB Invasive Species Treatment,"Vertical height reduction of Brazilian pepper in multiple locations throughout MacDill AFB. This will allow for a more targeted approach to maintenance of Brazilian pepper regrowth. Herbicide treatment, including Garlon 3a and Garlon 4 (triclopyr), Rodeo (glyphosate), and Polaris (Imazapyr) of invasive trees (Brazilian pepper, lead tree, melaleuca, and chinese tallow) and cogon grass to kill vegetation in place.","Previously disturbed areas, much of which was planted with slash pine for noise abatement but has been inundated with invasive plants, primarily Brazilian pepper.",Forest/Woodland,Invasives Control/Removal - Vegetation,No,,0,341000,Protect/improve/provide habitat for other wildlife,Rehabilitat,United States Air Force,Vista Science Corporation Inc.  (Contractor),United States Air Force,United States Air Force,27-SEP-21 03.14.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Coastal Uplands,,1545,,27.828,-82.484,,E-405,Uplands,Enhancement,,,Brendan Myers: IMG_2414(1),Groundcover species sprout after brazilian pepper mechanical treatment.,Brendan Myers: IMG_2005(1),Climbing fern and brazilian pepper after treatment.,
21145,2021,Region 4,FL,Tampa Bay Estuary Program,MacDill Air Force Base Native Planting Arbor Day,The planting of 150 native pine trees (longleaf) for Arbor Day 2021.  In an area of moderate to poor quality gopher tortoise habitat near the Crash Fire Station.  These plantings will help stimulate native plant growth and provide additional wildlife habitat.,Previously disturbed area with gopher tortoise habitat.,Forest/Woodland,Planting,No,,0,500,Protect/improve/provide habitat for other wildlife,Rehabilitat,United States Air Force,Vista Science Corporation Inc.  (Contractor),United States Air Force,United States Air Force,27-SEP-21 02.32.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Coastal Uplands,,2,,27.84298,-82.50617,,E-406,Uplands,Enhancement,,,Jason Kirkpatrick (picture: vol planting),Base volunteer plants a longleaf pine tree for Arbor Day; planted trees can be seen in the background.,,,
21089,2021,Region 4,FL,Tampa Bay Estuary Program,MacDill Air Force Base Phase VI,Components included planting Spartina alterniflora and Paspalum vaginatum for habitat creation and erosion control and installation of oyster modules,Restoration along the southeastern shoreline of MacDill AFB on the Interbay Peninsula designed to protect a natural shoreline that is eroding at an accelerated rate.,Estuarine Shoreline,Shoreline Stabilization/Enhancement,No,,0,120800,Protect/improve/provide habitat for fish/shellfish,Enhancement,Tampa Bay Watch,"MacDill Airforce Base, United States Department of Defense","Tampa Bay Environmental Restoration Fund, Scott's MiracleGro, EPCHC Pollution Recovery Fund","MacDill Airforce Base, United States Department of Defense",28-SEP-21 10.19.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Oyster Bars,,0.41,,27.84353,-82.46949,,SEP-005,Estuarine,Enhancement,,,,,,,
21144,2021,Region 4,FL,Tampa Bay Estuary Program,MacDill Air Force Base controlled burn,Prescribed burn utlilizing mostly backing and flanking fire.  Stimulate the growth of herbaceous gound cover for wildlife habitat improvements.  Start of continued prescribed fire implementation on a 3-5 year rotation.   Burned FAMCamp woods (60 acres) and wood near LF-9 (17 acres),Previously highly disturbed area that now supports a small sub-population of gopher torotoise.,Forest/Woodland,Prescribed Burn,No,,0,7000,Protect/improve/provide habitat for other wildlife,Enhancement,United States Air Force,United State Fish & Wildlife Service,United States Air Force,United States Air Force,27-SEP-21 02.36.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Coastal Uplands,,77,,27.828941,-82.484137,,E-407,Uplands,Enhancement,,,Brendan Myers (pictures: VIQZ7248(1) and IMG_2086(1)),Photo 7248: Cabbage palm on fire. Photo 2086: Fuels burn near fenceline.,,,
21432,2021,Region 4,FL,Tampa Bay Estuary Program,Mosaic Park Planting,Volunteers planted 200 mangroves along the shoreline of Mosaic Park to restore the shoreline and prevent erosion.,"Mosaic Park, operated by Hillsborough County, includes approximately 800 feet of shoreline near the mouth of the Alafia River.",Mangrove,Planting,,,0,8000,Protect/improve/provide habitat for fish/shellfish,Rehabilitat,Keep Tampa Bay Beautiful,,Keep Tampa Bay Beautiful,,28-SEP-21 11.19.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,,0.1,,27.864,-82.383,,E-373,Estuarine,Enhancement,,,,,,,
21132,2021,Region 4,FL,Tampa Bay Estuary Program,Palma Sola Botanical Park,"90 volunteers planted native freshwater marsh species, including blue flag iris, pickerel weed, yellow canna lily, arrowhead, and others, along the lake shore. Over 220 plants were installed.",Shoreline restoration along three freshwater lakes which flow directly into the Manatee River,Freshwater Marsh,Planting,No,,0,1500,Improve or protect water quality,Enhancement,Palma Sola Botanical Garden,Tampa Bay Estuary Program,Bay Mini-Grant,Palma Sola Botanical Park,28-SEP-21 09.14.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Non-forested Freshwater Wetlands,,,0.14,27.51351,-82.65977,750,E-408,Freshwater,Enhancement,,,,,,2021-Dec-,
21436,2021,Region 4,FL,Tampa Bay Estuary Program,Picnic Island Park Planting,Volunteers planted 171 mangroves along the shoreline of Picnic Island Park to restore the shoreline and prevent erosion.,Picnic Island Park is on the Interbay Peninsula just west of MacDill Air Force Base and includes mangroves and coastal uplands.,Mangrove,Planting,,,0,5000,Protect/improve/provide habitat for fish/shellfish,Rehabilitat,Keep Tampa Bay Beautiful,,Keep Tampa Bay Beautiful,,28-SEP-21 02.38.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,,0.1,,27.85,-82.554,,E-374,Estuarine,Enhancement,,,,,,,
21164,2021,Region 4,FL,Tampa Bay Estuary Program,Rays Give-A-Day for the Bay,"In an effort to give back to the community, the Tampa Bay Rays employees participated in a coastal planting event at the St. Petersburg College STEM Center. They planted 120 cordgrass (spartina alterniflora) and seagrape (cocolobum) around the peninsula. Additionally, they removed over 700 pounds of marine debris washed along the shoreline. One of the items the Rays removed was a derelict boat that had been stranded on the property for months.","Recently restored mangrove wetland, adjacent coastal hammock, salt flat, and oyster reef",Forested Wetland,Debris Removal,,,500,1000,,Maintenance,Tampa Bay Estuary Program,"St. Petersburg College, Tampa Bay Rays, ESA",,St. Petersburg College,28-SEP-21 08.22.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Mangrove Forests,,,0.47,27.81034,-82.78776,2500,E-409,Mix (estuarine and upland),Enhancement,,,,,,,
21324,2021,Region 4,FL,Tampa Bay Estuary Program,Robinson Preserve Expansion - Buffer Plantings,"Various coastal hammock and pine-flatwoods species, including sea grape, live oak, and southern red cedar, were installed.","Robinson Preserve includes 679 acres of coastal grasslands, saltern, marsh, and mangrove habitat. These systems support a variety of rare wildlife, presenting careful observers with an opportunity to see roseate spoonbills, wood storks, white pelicans, bald eagles, and least terns in their natural environment. The restoration work at Robinson Preserve represents an incredible partnership between numerous local, state, and national agencies. Florida Communities Trust was the County’s significant partner with a grant of $6 million applied to the County’s $10 million purchase of the property. Additional supporters included Southwest Florida Water Management District, U.S. Fish and Wildlife Service, Sarasota Bay Estuary Program, Tampa Bay Estuary Program, Gulf of Mexico",Forest/Woodland,Vegetation Buffer,No,,0,80000,Protect or preserve open space,Establishme,Manatee County,,Manatee County,Manatee County,27-SEP-21 02.08.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Coastal Uplands,,1.5,,27.51032,-82.6635,,R-162,Uplands,Restoration,,,,,,,
21326,2021,Region 4,FL,Tampa Bay Estuary Program,Robinson Preserve Expansion Phase IIB Fish Passage,"Hydrological Connections were established to basins created in Phase IIA. Various coastal hammock and pine-flatwoods species were installed under multiple contracts, including sea grape, live oak, southern red cedar, grasses, and forbs.","Robinson Preserve includes 679 acres of coastal grasslands, saltern, marsh, and mangrove habitat. These systems support a variety of rare wildlife, presenting careful observers with an opportunity to see roseate spoonbills, wood storks, white pelicans, bald eagles, and least terns in their natural environment. Sprouting up from the salty soil are a vast array of intriguing plants, including saltwort, glasswort, and succulent sea purslane. The restoration work at Robinson Preserve represents an incredible partnership between numerous local, state, and national agencies. Florida Communities Trust was the County’s significant partner with a grant of $6 million applied to the County’s $10 million purchase of the property. Additional supporters included Southwest Florida",Estuarine Shoreline,Fish Passage,No,,0,2371000,Protect/improve/provide habitat for fish/shellfish,Establishme,National Oceanic and Atmospheric Administration,"Southwest Florida Water Management District, U.S. Fish and Wildlife Service, Sarasota Bay Estuary Program, Tampa Bay Estuary Program, Gulf of Mexico Foundation, Florida Department of Environmental Protection, Florida Fish and Wildlife Conservation Commission, Conservation Foundation of the Gulf Coast, and the National Fish and Wildlife Foundation.",National Oceanic and Atmospheric Administration,Manatee County,27-SEP-21 01.58.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Intertidal Estuarine (Other),,150,,27.50918,-82.6684,,R-163,Mix (estuarine and upland),Restoration,,,,,,,
